Title, Genre, Director, Actor, IMDB
2001: A Space Odyssey, Sci-Fi/Fantasy, Stanley Kubrick, Keir Dullea;Gary Lockwood, https://www.imdb.com/title/tt0062622/?ref_=nv_sr_srsg_0, 
A Clockwork Orange, Drama/Crime, Stanley Kubrick, Malcolm McDowell;Adrienne Corri, https://www.imdb.com/title/tt0066921/?ref_=nv_sr_srsg_0, 
American Psycho, Thriller/Horror, Mary Harron, Christian Bale;Jared Leto;Willem Dafoe, https://www.imdb.com/title/tt0144084/?ref_=nv_sr_srsg_0, 
Army of Darkness, Horror, Sam Raimi, Bruce Campbell;Ivan Raimi, https://www.imdb.com/title/tt0106308/?ref_=nv_sr_srsg_0, 
Blade Runner, Sci-Fi/Action, Ridley Scott, Harrison Ford;Rutger Hauer;Sean Young, https://www.imdb.com/title/tt0083658/?ref_=nv_sr_srsg_3, 
Clerks, Comedy/Indie, Kevin Smith, Kevin Smith;Jeff Anderson;Jason Mewes, https://www.imdb.com/title/tt0109445/?ref_=nv_sr_srsg_4, 
Dazed and Confused, Comedy, Richard Linklater, Matthew McConaughey;Jason London;Parker Posey;Ben Affleck, https://www.imdb.com/title/tt0106677/?ref_=nv_sr_srsg_3, 
Donnie Darko, Sci-Fi, Richard Kelly, Jake Gyllenhaal;Drew Barrymore;Seth Rogen, https://www.imdb.com/title/tt0246578/?ref_=nv_sr_srsg_0, 
Eraserhead, Horror/Sci-Fi, David Lynch, Jake Nance;Laurel Near, https://www.imdb.com/title/tt0074486/?ref_=nv_sr_srsg_5, 
Fight Club, Drama/Thriller, David Fincher, Brad Pitt;Jared Leto;Helena Bonham Carter, https://www.imdb.com/title/tt0137523/?ref_=nv_sr_srsg_0, 
Friday, Comedy, F.Gary Gray, Ice Cube;Chris Tucker, https://www.imdb.com/title/tt0113118/?ref_=nv_sr_srsg_0, 
Harold and Maude, Comedy/Romance, Hal Ashby, Bud Cort;Ruth Gordan, https://www.imdb.com/title/tt0067185/?ref_=nv_sr_srsg_0, 
Hedwig and the Angry Inch, Musical/Drama, John Mitchell, John Cameron Mitchell;Stephen Trask;Miriam Shor, https://www.imdb.com/title/tt0248845/?ref_=nv_sr_srsg_0, 
Monty Python and the Holy Grail, Comedy/Fantasy, Terry Gilliam;Terry Jones, John Cleese;Eric Idle, https://www.imdb.com/title/tt0071853/?ref_=nv_sr_srsg_0, 
Napoleon Dynamite, Comedy/Indie, Jared Hess, Jon Heder;Efren Ramirez, https://www.imdb.com/title/tt0374900/?ref_=nv_sr_srsg_2, 
Office Space, Comedy, Mike Judge, Mike Judge;Ron Livingston;Gary Cole, https://www.imdb.com/title/tt0151804/?ref_=nv_sr_srsg_0, 
One Flew Over the Cuckoo's Nest, Drama/Comedy, Milos Forman, Jack Nicholson;Louise Fletcher;Danny DeVito, https://www.imdb.com/title/tt0073486/?ref_=nv_sr_srsg_0, 
Phantom of the Paradise, Musical/Horror, Brian De Palma, William Finley;Gerrit Graham, https://www.imdb.com/title/tt0071994/?ref_=nv_sr_srsg_6, 
Pink Floyd - The Wall, Musical/Drama, Alan Parker, Bob Geldof;Kevin McKeon, https://www.imdb.com/title/tt0084503/?ref_=nv_sr_srsg_2, 
Pulp Fiction, Comedy/Crime, Quentin Tarantino, John Travolta;Samuel L. Jackson;Uma Thurman;Bruce Willis, https://www.imdb.com/title/tt0110912/?ref_=nv_sr_srsg_0, 
Repo Man, Sci-Fi/Comedy, Alex Cox, Harry Dean Stanton;Emilio Estevez, https://www.imdb.com/title/tt0087995/?ref_=nv_sr_srsg_0, 
Repo! The Genetic Opera, Horror/Musical, Darren Bousman, Terrance Zdunich;Paul Sorvino;Paris Hilton, https://www.imdb.com/title/tt0963194/?ref_=nv_sr_srsg_6, 
Stand By Me, Adventure/Drama, Rob Reiner, River Phoenix;Wil Wheaton;Corey Feldman, https://www.imdb.com/title/tt0092005/?ref_=nv_sr_srsg_0, 
Super Troopers, Comedy/Crime, Jay Chandrasekhar, Steve Lemme;Kevin Heffernam, https://www.imdb.com/title/tt0247745/, 
The Big Lebowski, Comedy, Ethan Coen;Joel Coel, 4, 280, 
The Blues Brothers, Musical/Comedy, John Landis, Dan Aykroyd;John Belushim;John Landis, https://www.imdb.com/title/tt0080455/?ref_=nv_sr_srsg_0, 
The Evil Dead, Horror, Sam Raimi, Bruce Campbell;Ellen Sandweiss, https://www.imdb.com/title/tt0083907/?ref_=nv_sr_srsg_0, 
The Princess Bride, Romance, Rob Reiner, Cary Elwes;Robin Wrright;Billy Crystal, https://www.imdb.com/title/tt0093779/?ref_=nv_sr_srsg_0, 
The Rocky Horror Picture Show, Musical/Horror, Jim Sharman, Tim Curry;Susan Saradon;Barry Bostwick, https://www.imdb.com/title/tt0073629/?ref_=nv_sr_srsg_2, 
The Room, Drama/Romance, Tommy Wiseau, Tommy Wiseau;Greg Sestero;Juliette Danielle, https://www.imdb.com/title/tt0368226/?ref_=nv_sr_srsg_0, 
The Warriors, Action/Mystery, Walter Hil, Michael Back;James Remar;David Patrick Kelly, https://www.imdb.com/title/tt0080120/?ref_=nv_sr_srsg_0, 
This is Spinal Tap, Musical/Comedy, Rob Reiner, Christopher Guest;Rob Reiner;Michael McKean, https://www.imdb.com/title/tt0088258/?ref_=nv_sr_srsg_0, 
Withnail and I, Comedy, Bruce Robinson, Richard Grant;Paul McGann, https://www.imdb.com/title/tt0094336/?ref_=nv_sr_srsg_0, 
